org,org_conviction,org_country,continent,indiv,indiv_type,categorized,cat_agw_opinion,cat_occupation,cat_organisation,cat_relgion_opinion,cat_topic,country,wiki_type_x
new zealand climate education trust,unconvinced of agw,new zealand,oceania,terry dunleavy,members,person,unconvinced of agw,,,,,,
new zealand climate education trust,unconvinced of agw,new zealand,oceania,bob carter,members,person,unconvinced of agw,,,,,,
australian apec study centre,unconvinced of agw,australia,oceania,alan oxley,lobbying,person,,,,,,,
australian apec study centre,unconvinced of agw,australia,oceania,alan moran,lobbying,person,unconvinced of agw,,,,,australia,own_page
australian apec study centre,unconvinced of agw,australia,oceania,john mckay,members,person,,,,,,,
australian apec study centre,unconvinced of agw,australia,oceania,jaime jobson,members,person,,,,,,,
australian apec study centre,unconvinced of agw,australia,oceania,tim wilson,members,person,,,,,,,
australian apec study centre,unconvinced of agw,australia,oceania,judi ogorman,members,person,,,,,,,
australian libertarian society,unconvinced of agw,australia,oceania,stop gillards,lobbying,person,,,,,,,
australian libertarian society,unconvinced of agw,australia,oceania,john humphreys,members,person,unconvinced of agw,,,,,,
australian libertarian society,unconvinced of agw,australia,oceania,terje petersen,members,person,,,,,,,
australian libertarian society,unconvinced of agw,australia,oceania,tim andrews,members,person,,,,,,,
australian libertarian society,unconvinced of agw,australia,oceania,robert guerrero,members,person,,,,,,,
australian libertarian society,unconvinced of agw,australia,oceania,dani harris,members,person,,,,,,,
australian libertarian society,unconvinced of agw,australia,oceania,joseph clark,members,person,unconvinced of agw,,,,,,
australian libertarian society,unconvinced of agw,australia,oceania,vasta,members,person,,,,,,,
australian libertarian society,unconvinced of agw,australia,oceania,jim fryar,members,person,,,,,,,
australian libertarian society,unconvinced of agw,australia,oceania,gabe buckley,members,person,,,,,,,
australian libertarian society,unconvinced of agw,australia,oceania,justin campbell,members,person,,,,,,,
australian libertarian society,unconvinced of agw,australia,oceania,frank redpath,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,gina rinehart,members,person,unconvinced of agw,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,zak adizes,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,greg anderson,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,david barker,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,mick caratti,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,lycopodium limited,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,david christison,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,chris codrington,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,john cooling,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,mark creasy,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,dempsey,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,brian elloy,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,peter fitzpatrick,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,jan ford,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,gactomo galati-sardio,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,dave garcia,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,barbara grieve,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,john hancock,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,john hearne,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,vince hyde,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,david humann,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,barry humfrey,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,tim humphries,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,john innes,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,shane jacob,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,norman johnson,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,michael joyce,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,ian kent,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,michael kiernan,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,richard ladyman,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,dominic c lalor,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,peter macey,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,tony mack,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,ron manners,members,person,unconvinced of agw,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,craig marshall,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,ian massara,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,john mcrobert,members,person,,,,,,,
