individual,nr organisation membership ,edges organisations total,edges organisations international,edges organisations inter-continental
david r. brown,2,1,0,0
frits bolkestein,2,1,1,0
roger meiners,2,1,0,0
g. vance smith,2,1,0,0
sheldon richman,2,1,0,0
gabriel calzada,2,1,1,1
edward stringham,2,1,0,0
gary anderson,2,1,0,0
valentin petkantchin,2,1,1,1
gary bauer,2,1,0,0
mike morrison,2,1,0,0
gary becker,2,1,1,1
dan lips,2,1,0,0
gary d. libecap,2,1,0,0
daniel simberloff,2,1,0,0
gary jarmin,2,1,0,0
peter jungen,2,1,1,0
gary north,2,1,0,0
piers corbyn,2,1,1,1
gary palmer,2,1,0,0
richard ellis,2,1,1,1
gary sampson,2,1,1,1
robert e. davis,2,1,0,0
gene meyer,2,1,0,0
robert vicks,2,1,0,0
george gilder,2,1,0,0
dieter ameling,2,1,1,1
george h. nash,2,1,0,0
sam staley,2,1,0,0
benjamin powell,2,1,0,0
donald p. hodel,2,1,0,0
george marshall,2,1,0,0
earl,2,1,0,0
george monbiot,2,1,1,0
alan jones,2,1,0,0
benjamin zycher,2,1,0,0
bart verheggen,2,1,0,0
george reisman,2,1,0,0
walter allan,2,1,0,0
george taylor,2,1,0,0
ben roberts,2,1,0,0
george w. bush,2,1,0,0
cliff ollier,2,1,0,0
gerard batten,2,1,1,0
corrado clini,2,1,1,0
benny peiser,2,1,0,0
olivier hoedeman,2,1,1,0
gerd robanus,2,1,0,0
daniel j. erspamer,2,1,0,0
gerd-rainer weber,2,1,1,1
paul mongerson,2,1,0,0
berlin,2,1,0,0
peter cook,2,1,0,0
bernard,2,1,1,0
philip collins,2,1,0,0
giancarlo ibárgüen s.,2,1,0,0
pierre bouteille,2,1,1,1
gilles verstraeten,2,1,0,0
randall holcombe,2,1,0,0
godfrey bloom,2,1,1,0
rhodes boyson,2,1,0,0
bert n. smith,2,1,0,0
richard l. stroup,2,1,1,1
greg walcher,2,1,0,0
arch coal,2,1,0,0
gregory rehmke,2,1,1,1
robert henderson,2,1,0,0
bill jaeger,2,1,0,0
armen alchian,2,1,1,1
bill mckibben,2,1,0,0
roger douglas,2,1,1,1
gunnar hökmark,2,1,1,0
roger tattersall,2,1,1,1
bill stacey,2,1,0,0
ronnie merritt,2,1,0,0
hans d. barbier,2,1,0,0
don soifer,2,1,0,0
hans h.j. labohm,2,1,1,1
sascha tamm,2,1,0,0
hans jelbring,2,1,1,1
sir,2,1,0,0
bill thompson,2,1,0,0
donald paul hodel,2,1,0,0
hans meier,2,1,1,1
dustin deberry,2,1,0,0
hans tietmeyer,2,1,0,0
terry arthur,2,1,1,1
hans-hermann hoppe,2,1,1,1
thomas fleming,2,1,0,0
hans-olaf henkel,2,1,0,0
thomas s. winter,2,1,0,0
a. alan moghissi,2,1,1,1
emeritus president,2,1,0,0
harold demsetz,2,1,0,0
eric verhulst,2,1,0,0
harris dellas,2,1,0,0
adam meyerson,2,1,0,0
bob williams,2,1,0,0
walter starck,2,1,0,0
heather mac donald,2,1,0,0
wiel maessen,2,1,1,1
alberto mingardi,2,1,1,0
william okeefe,2,1,0,0
boudewijn r. a. bouckaert,2,1,1,1
claude moniquet,2,1,1,1
henri siegert chazan,2,1,1,1
myron ebell,2,1,1,1
henry hazlitt,2,1,1,1
nelson bunker hunt,2,1,0,0
henry i. miller,2,1,1,1
dan grossman,2,1,0,0
alex deane,2,1,0,0
norman stone,2,1,0,0
brandon arnold,2,1,0,0
daniel eisele,2,1,0,0
alex epstein,2,1,0,0
patrick j. garrity,2,1,0,0
brian ferguson,2,1,0,0
patrick moore,2,1,1,1
horst malberg,2,1,0,0
danielle beckett,2,1,0,0
howard ahmanson,2,1,0,0
paul reiter,2,1,1,1
howard hutchinson,2,1,0,0
david,2,1,1,1
hubert jongen,2,1,1,1
peter ferrara,2,1,0,0
hugh ellsaesser,2,1,0,0
peter w. schramm,2,1,0,0
brian hindley,2,1,1,0
david archibald,2,1,1,1
adam daifallah,2,1,0,0
david e. wojick,2,1,0,0
ilya somin,2,1,0,0
david fenner,2,1,0,0
ingrid a. gregg,2,1,0,0
purdy crawford,2,1,0,0
j. gordon edwards,2,1,0,0
randy p. kendrick,2,1,0,0
j. scott armstrong,2,1,0,0
reed larson,2,1,0,0
brian monteith,2,1,0,0
antony flew,2,1,0,0
j.r. clark,2,1,0,0
richard k. armey,2,1,0,0
jacek saryusz-wolski,2,1,0,0
david myddelton,2,1,0,0
jack kemp,2,1,0,0
richard wellings,2,1,0,0
brian schwartz,2,1,0,0
robert boyd,2,1,0,0
brian t. kennedy,2,1,0,0
robert h. bork,2,1,0,0
alexandra liddy bourne,2,1,0,0
robert jastrow,2,1,0,0
james h. burnley,2,1,0,0
davy dirix,2,1,1,0
bryan bernys,2,1,0,0
robert spencer,2,1,0,0
